@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
343,'2020/03/23 12:45:17:670',5,0.514555,-0.374956,0.177811,0.055946,0.470888,0.265607,0.223126,1,0,0,0,0,0
344,'2020/03/23 12:45:17:681',5,0.600789,-0.370209,0.171181,0.008653,0.465201,0.332224,0.263633,1,0,0,0,0,0
345,'2020/03/23 12:45:17:693',5,0.626265,-0.38078,0.100731,-0.001911,0.438518,0.295411,0.215817,1,0,0,0,0,0
346,'2020/03/23 12:45:17:694',5,0.626265,-0.38078,0.100731,-0.001911,0.438518,0.295411,0.215817,1,0,0,0,0,0
347,'2020/03/23 12:45:17:705',5,0.567395,-0.40305,0.127253,0.024964,0.440668,0.259639,0.202631,1,0,0,0,0,0
348,'2020/03/23 12:45:17:716',5,0.586764,-0.361991,0.189848,0.009882,0.465937,0.321619,0.223342,1,0,0,0,0,0
349,'2020/03/23 12:45:17:728',5,0.535618,-0.409057,0.14365,0.023491,0.501645,0.318639,0.214812,1,0,0,0,0,0
350,'2020/03/23 12:45:17:739',5,0.545025,-0.391372,0.064638,0.001893,0.408404,0.234808,0.162897,1,0,0,0,0,0
351,'2020/03/23 12:45:17:751',5,0.563491,-0.395564,0.134156,-0.004731,0.452821,0.283486,0.217448,1,0,0,0,0,0
352,'2020/03/23 12:45:17:763',5,0.546518,-0.41361,0.141615,0.002282,0.459463,0.263283,0.207636,1,0,0,0,0,0
353,'2020/03/23 12:45:17:775',5,0.518095,-0.37707,0.182514,0.048333,0.446491,0.254783,0.231805,1,0,0,0,0,0
354,'2020/03/23 12:45:17:775',5,0.518095,-0.37707,0.182514,0.048333,0.446491,0.254783,0.231805,1,0,0,0,0,0
355,'2020/03/23 12:45:17:786',5,0.583031,-0.381997,0.170254,0.031385,0.479426,0.317205,0.223699,1,0,0,0,0,0
356,'2020/03/23 12:45:17:798',5,0.612224,-0.391882,0.110328,-0.003525,0.441829,0.302218,0.25255,1,0,0,0,0,0
357,'2020/03/23 12:45:17:809',5,0.59928,-0.378178,0.123717,0.022179,0.433029,0.260057,0.184635,1,0,0,0,0,0
358,'2020/03/23 12:45:17:821',5,0.573625,-0.380503,0.174547,0.024134,0.482435,0.314723,0.22327,1,0,0,0,0,0
359,'2020/03/23 12:45:17:833',5,0.545964,-0.399574,0.157433,-0.001373,0.472004,0.323866,0.226682,1,0,0,0,0,0
360,'2020/03/23 12:45:17:844',5,0.527799,-0.404327,0.080446,0.014275,0.447711,0.247441,0.160271,1,0,0,0,0,0
361,'2020/03/23 12:45:17:845',5,0.527799,-0.404327,0.080446,0.014275,0.447711,0.247441,0.160271,1,0,0,0,0,0
362,'2020/03/23 12:45:17:856',5,0.575362,-0.383469,0.130582,-0.006098,0.449865,0.292737,0.204957,1,0,0,0,0,0
363,'2020/03/23 12:45:17:867',5,0.556192,-0.401942,0.137843,-0.009594,0.455565,0.26272,0.210246,1,0,0,0,0,0
364,'2020/03/23 12:45:17:879',5,0.536982,-0.393195,0.171748,0.0368,0.437339,0.253695,0.221151,1,0,0,0,0,0
365,'2020/03/23 12:45:17:890',5,0.540141,-0.387216,0.166964,0.050767,0.487941,0.295323,0.212233,1,0,0,0,0,0
366,'2020/03/23 12:45:17:902',5,0.606299,-0.377201,0.146108,-0.000505,0.452983,0.321225,0.281497,1,0,0,0,0,0
367,'2020/03/23 12:45:17:914',5,0.6283,-0.370063,0.109662,0.009324,0.432914,0.278121,0.184807,1,0,0,0,0,0
368,'2020/03/23 12:45:17:914',5,0.6283,-0.370063,0.109662,0.009324,0.432914,0.278121,0.184807,1,0,0,0,0,0
369,'2020/03/23 12:45:17:925',5,0.575962,-0.396154,0.152094,0.029316,0.469948,0.291734,0.22291,1,0,0,0,0,0
370,'2020/03/23 12:45:17:937',5,0.584787,-0.361089,0.1882,-0.000333,0.457393,0.3311,0.236042,1,0,0,0,0,0
371,'2020/03/23 12:45:17:948',5,0.51953,-0.414446,0.11002,0.024304,0.484579,0.278986,0.175626,1,0,0,0,0,0
372,'2020/03/23 12:45:17:960',5,0.604923,-0.349578,0.116482,0.001023,0.418606,0.262124,0.170074,1,0,0,0,0,0
373,'2020/03/23 12:45:17:972',5,0.567976,-0.392204,0.141699,-0.002994,0.455787,0.271325,0.215188,1,0,0,0,0,0
374,'2020/03/23 12:45:17:984',5,0.552395,-0.406395,0.158763,0.026107,0.451505,0.2602,0.208171,1,0,0,0,0,0
