@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1055,'2020/03/23 13:24:32:605',2,0.529256,-0.385973,0.177766,0.041017,0.437505,0.253656,0.228321,0.161839,0.207182,0.308206,0.291875,0.137117,0.289649,0,0,0,0,0,0,0,1,0,0,0,0,0
1056,'2020/03/23 13:24:32:605',2,0.529256,-0.385973,0.177766,0.041017,0.437505,0.253656,0.228321,0.161839,0.207182,0.308206,0.291875,0.137117,0.289649,0,0,0,0,0,0,0,1,0,0,0,0,0
1057,'2020/03/23 13:24:32:616',2,0.555901,-0.388574,0.166314,0.044414,0.485835,0.303868,0.212875,0.14712,0.228741,0.337381,0.318359,0.187879,0.358258,0,0,0,0,0,0,0,1,0,0,0,0,0
1058,'2020/03/23 13:24:32:617',2,0.555901,-0.388574,0.166314,0.044414,0.485835,0.303868,0.212875,0.14712,0.228741,0.337381,0.318359,0.187879,0.358258,0,0,0,0,0,0,0,1,0,0,0,0,0
1059,'2020/03/23 13:24:32:628',2,0.610121,-0.383634,0.130913,-0.001197,0.449401,0.313038,0.27277,0.184962,0.253986,0.298426,0.318334,0.16594,0.286208,0,0,0,0,0,0,0,1,0,0,0,0,0
1060,'2020/03/23 13:24:32:628',2,0.610121,-0.383634,0.130913,-0.001197,0.449401,0.313038,0.27277,0.184962,0.253986,0.298426,0.318334,0.16594,0.286208,0,0,0,0,0,0,0,1,0,0,0,0,0
1061,'2020/03/23 13:24:32:628',2,0.610121,-0.383634,0.130913,-0.001197,0.449401,0.313038,0.27277,0.184962,0.253986,0.298426,0.318334,0.16594,0.286208,0,0,0,0,0,0,0,1,0,0,0,0,0
1062,'2020/03/23 13:24:32:639',2,0.619324,-0.371099,0.115606,0.014661,0.431984,0.269942,0.181545,0.158239,0.276787,0.351088,0.333505,0.165348,0.287905,0,0,0,0,0,0,0,1,0,0,0,0,0
1063,'2020/03/23 13:24:32:640',2,0.619324,-0.371099,0.115606,0.014661,0.431984,0.269942,0.181545,0.158239,0.276787,0.351088,0.333505,0.165348,0.287905,0,0,0,0,0,0,0,1,0,0,0,0,0
1064,'2020/03/23 13:24:32:651',2,0.57496,-0.39026,0.162034,0.028778,0.477886,0.303352,0.224704,0.174138,0.258634,0.327661,0.30207,0.207668,0.304559,0,0,0,0,0,0,0,1,0,0,0,0,0
1065,'2020/03/23 13:24:32:651',2,0.57496,-0.39026,0.162034,0.028778,0.477886,0.303352,0.224704,0.174138,0.258634,0.327661,0.30207,0.207668,0.304559,0,0,0,0,0,0,0,1,0,0,0,0,0
1066,'2020/03/23 13:24:32:663',2,0.57246,-0.373456,0.177964,-0.002643,0.461204,0.329572,0.233266,0.169299,0.276393,0.357367,0.343164,0.176386,0.282451,0,0,0,0,0,0,0,1,0,0,0,0,0
1067,'2020/03/23 13:24:32:663',2,0.57246,-0.373456,0.177964,-0.002643,0.461204,0.329572,0.233266,0.169299,0.276393,0.357367,0.343164,0.176386,0.282451,0,0,0,0,0,0,0,1,0,0,0,0,0
1068,'2020/03/23 13:24:32:674',2,0.522328,-0.410024,0.09935,0.022618,0.472645,0.266118,0.168407,0.104296,0.190594,0.267471,0.271999,0.123179,0.255819,0,0,0,0,0,0,0,1,0,0,0,0,0
1069,'2020/03/23 13:24:32:674',2,0.522328,-0.410024,0.09935,0.022618,0.472645,0.266118,0.168407,0.104296,0.190594,0.267471,0.271999,0.123179,0.255819,0,0,0,0,0,0,0,1,0,0,0,0,0
1070,'2020/03/23 13:24:32:686',2,0.606056,-0.360383,0.12807,-0.000778,0.435904,0.282488,0.183179,0.135346,0.174908,0.239944,0.252481,0.144457,0.254687,0,0,0,0,0,0,0,1,0,0,0,0,0
1071,'2020/03/23 13:24:32:686',2,0.606056,-0.360383,0.12807,-0.000778,0.435904,0.282488,0.183179,0.135346,0.174908,0.239944,0.252481,0.144457,0.254687,0,0,0,0,0,0,0,1,0,0,0,0,0
1072,'2020/03/23 13:24:32:686',2,0.606056,-0.360383,0.12807,-0.000778,0.435904,0.282488,0.183179,0.135346,0.174908,0.239944,0.252481,0.144457,0.254687,0,0,0,0,0,0,0,1,0,0,0,0,0
1073,'2020/03/23 13:24:32:698',2,0.566407,-0.392471,0.14265,-0.005019,0.456737,0.268336,0.214062,0.139741,0.206913,0.290516,0.296785,0.164153,0.318945,0,0,0,0,0,0,0,1,0,0,0,0,0
1074,'2020/03/23 13:24:32:698',2,0.566407,-0.392471,0.14265,-0.005019,0.456737,0.268336,0.214062,0.139741,0.206913,0.290516,0.296785,0.164153,0.318945,0,0,0,0,0,0,0,1,0,0,0,0,0
1075,'2020/03/23 13:24:32:698',2,0.566407,-0.392471,0.14265,-0.005019,0.456737,0.268336,0.214062,0.139741,0.206913,0.290516,0.296785,0.164153,0.318945,0,0,0,0,0,0,0,1,0,0,0,0,0
1076,'2020/03/23 13:24:32:709',2,0.546373,-0.403859,0.160924,0.028457,0.442614,0.255102,0.21001,0.127136,0.195515,0.291206,0.295086,0.136258,0.264873,0,0,0,0,0,0,0,1,0,0,0,0,0
1077,'2020/03/23 13:24:32:709',2,0.546373,-0.403859,0.160924,0.028457,0.442614,0.255102,0.21001,0.127136,0.195515,0.291206,0.295086,0.136258,0.264873,0,0,0,0,0,0,0,1,0,0,0,0,0
1078,'2020/03/23 13:24:32:721',2,0.523325,-0.378749,0.173657,0.057595,0.484057,0.279673,0.216764,0.168454,0.232922,0.334006,0.295113,0.150249,0.338858,0,0,0,0,0,0,0,1,0,0,0,0,0
1079,'2020/03/23 13:24:32:721',2,0.523325,-0.378749,0.173657,0.057595,0.484057,0.279673,0.216764,0.168454,0.232922,0.334006,0.295113,0.150249,0.338858,0,0,0,0,0,0,0,1,0,0,0,0,0
1080,'2020/03/23 13:24:32:733',2,0.597458,-0.373705,0.163232,0.002929,0.460244,0.333249,0.283598,0.17998,0.245407,0.307733,0.330204,0.193466,0.318026,0,0,0,0,0,0,0,1,0,0,0,0,0
1081,'2020/03/23 13:24:32:733',2,0.597458,-0.373705,0.163232,0.002929,0.460244,0.333249,0.283598,0.17998,0.245407,0.307733,0.330204,0.193466,0.318026,0,0,0,0,0,0,0,1,0,0,0,0,0
1082,'2020/03/23 13:24:32:744',2,0.63154,-0.373329,0.102217,0.001341,0.435921,0.288966,0.196911,0.173274,0.282318,0.341062,0.326101,0.168685,0.30637,0,0,0,0,0,0,0,1,0,0,0,0,0
1083,'2020/03/23 13:24:32:744',2,0.63154,-0.373329,0.102217,0.001341,0.435921,0.288966,0.196911,0.173274,0.282318,0.341062,0.326101,0.168685,0.30637,0,0,0,0,0,0,0,1,0,0,0,0,0
1084,'2020/03/23 13:24:32:756',2,0.571862,-0.402523,0.137347,0.028897,0.454892,0.273022,0.214425,0.155205,0.255505,0.326571,0.300642,0.183093,0.278186,0,0,0,0,0,0,0,1,0,0,0,0,0
1085,'2020/03/23 13:24:32:756',2,0.571862,-0.402523,0.137347,0.028897,0.454892,0.273022,0.214425,0.155205,0.255505,0.326571,0.300642,0.183093,0.278186,0,0,0,0,0,0,0,1,0,0,0,0,0
1086,'2020/03/23 13:24:32:756',2,0.571862,-0.402523,0.137347,0.028897,0.454892,0.273022,0.214425,0.155205,0.255505,0.326571,0.300642,0.183093,0.278186,0,0,0,0,0,0,0,1,0,0,0,0,0
1087,'2020/03/23 13:24:32:767',2,0.592229,-0.355247,0.194619,0.005083,0.457468,0.326982,0.230542,0.191797,0.28101,0.343237,0.331607,0.192788,0.302671,0,0,0,0,0,0,0,1,0,0,0,0,0
1088,'2020/03/23 13:24:32:767',2,0.592229,-0.355247,0.194619,0.005083,0.457468,0.326982,0.230542,0.191797,0.28101,0.343237,0.331607,0.192788,0.302671,0,0,0,0,0,0,0,1,0,0,0,0,0
1089,'2020/03/23 13:24:32:779',2,0.528445,-0.411746,0.13012,0.027395,0.500031,0.303217,0.19741,0.125567,0.221606,0.303524,0.296594,0.129572,0.248961,0,0,0,0,0,0,0,1,0,0,0,0,0
1090,'2020/03/23 13:24:32:779',2,0.528445,-0.411746,0.13012,0.027395,0.500031,0.303217,0.19741,0.125567,0.221606,0.303524,0.296594,0.129572,0.248961,0,0,0,0,0,0,0,1,0,0,0,0,0
1091,'2020/03/23 13:24:32:779',2,0.528445,-0.411746,0.13012,0.027395,0.500031,0.303217,0.19741,0.125567,0.221606,0.303524,0.296594,0.129572,0.248961,0,0,0,0,0,0,0,1,0,0,0,0,0
1092,'2020/03/23 13:24:32:790',2,0.576879,-0.364141,0.087161,0.0064,0.406963,0.2452,0.169715,0.108701,0.184963,0.249226,0.260278,0.154316,0.272577,0,0,0,0,0,0,0,1,0,0,0,0,0
1093,'2020/03/23 13:24:32:790',2,0.576879,-0.364141,0.087161,0.0064,0.406963,0.2452,0.169715,0.108701,0.184963,0.249226,0.260278,0.154316,0.272577,0,0,0,0,0,0,0,1,0,0,0,0,0
1094,'2020/03/23 13:24:32:802',2,0.564192,-0.396509,0.136006,-0.003667,0.453518,0.276919,0.217454,0.154098,0.219844,0.298714,0.291147,0.161516,0.30951,0,0,0,0,0,0,0,1,0,0,0,0,0
1095,'2020/03/23 13:24:32:803',2,0.564192,-0.396509,0.136006,-0.003667,0.453518,0.276919,0.217454,0.154098,0.219844,0.298714,0.291147,0.161516,0.30951,0,0,0,0,0,0,0,1,0,0,0,0,0
1096,'2020/03/23 13:24:32:814',2,0.551062,-0.410884,0.151109,0.015855,0.458657,0.263005,0.206287,0.112675,0.187686,0.284804,0.310116,0.15013,0.276099,0,0,0,0,0,0,0,1,0,0,0,0,0
1097,'2020/03/23 13:24:32:814',2,0.551062,-0.410884,0.151109,0.015855,0.458657,0.263005,0.206287,0.112675,0.187686,0.284804,0.310116,0.15013,0.276099,0,0,0,0,0,0,0,1,0,0,0,0,0
1098,'2020/03/23 13:24:32:825',2,0.513402,-0.373998,0.181141,0.053351,0.459812,0.259508,0.228805,0.178655,0.220511,0.321657,0.288052,0.134766,0.3174,0,0,0,0,0,0,0,1,0,0,0,0,0
1099,'2020/03/23 13:24:32:825',2,0.513402,-0.373998,0.181141,0.053351,0.459812,0.259508,0.228805,0.178655,0.220511,0.321657,0.288052,0.134766,0.3174,0,0,0,0,0,0,0,1,0,0,0,0,0
1100,'2020/03/23 13:24:32:826',2,0.513402,-0.373998,0.181141,0.053351,0.459812,0.259508,0.228805,0.178655,0.220511,0.321657,0.288052,0.134766,0.3174,0,0,0,0,0,0,0,1,0,0,0,0,0
1101,'2020/03/23 13:24:32:837',2,0.597598,-0.373221,0.172828,0.017204,0.472102,0.32818,0.243768,0.152627,0.237599,0.327267,0.328917,0.202164,0.343254,0,0,0,0,0,0,0,1,0,0,0,0,0
1102,'2020/03/23 13:24:32:837',2,0.597598,-0.373221,0.172828,0.017204,0.472102,0.32818,0.243768,0.152627,0.237599,0.327267,0.328917,0.202164,0.343254,0,0,0,0,0,0,0,1,0,0,0,0,0
1103,'2020/03/23 13:24:32:849',2,0.619955,-0.388157,0.102271,-0.003627,0.4382,0.29681,0.231526,0.182447,0.276094,0.322181,0.31823,0.163537,0.291611,0,0,0,0,0,0,0,1,0,0,0,0,0
1104,'2020/03/23 13:24:32:849',2,0.619955,-0.388157,0.102271,-0.003627,0.4382,0.29681,0.231526,0.182447,0.276094,0.322181,0.31823,0.163537,0.291611,0,0,0,0,0,0,0,1,0,0,0,0,0
1105,'2020/03/23 13:24:32:850',2,0.619955,-0.388157,0.102271,-0.003627,0.4382,0.29681,0.231526,0.182447,0.276094,0.322181,0.31823,0.163537,0.291611,0,0,0,0,0,0,0,1,0,0,0,0,0
1106,'2020/03/23 13:24:32:860',2,0.575649,-0.394561,0.124936,0.023847,0.434602,0.255944,0.193334,0.149196,0.27014,0.34431,0.321882,0.168502,0.270488,0,0,0,0,0,0,0,1,0,0,0,0,0
1107,'2020/03/23 13:24:32:860',2,0.575649,-0.394561,0.124936,0.023847,0.434602,0.255944,0.193334,0.149196,0.27014,0.34431,0.321882,0.168502,0.270488,0,0,0,0,0,0,0,1,0,0,0,0,0
1108,'2020/03/23 13:24:32:872',2,0.580492,-0.368905,0.183933,0.015815,0.475669,0.319336,0.222017,0.19179,0.273761,0.332986,0.317794,0.213134,0.32142,0,0,0,0,0,0,0,1,0,0,0,0,0
1109,'2020/03/23 13:24:32:872',2,0.580492,-0.368905,0.183933,0.015815,0.475669,0.319336,0.222017,0.19179,0.273761,0.332986,0.317794,0.213134,0.32142,0,0,0,0,0,0,0,1,0,0,0,0,0
1110,'2020/03/23 13:24:32:883',2,0.535827,-0.409874,0.147013,0.010818,0.489503,0.32164,0.221399,0.149715,0.257156,0.346689,0.332061,0.154856,0.263522,0,0,0,0,0,0,0,1,0,0,0,0,0
1111,'2020/03/23 13:24:32:884',2,0.535827,-0.409874,0.147013,0.010818,0.489503,0.32164,0.221399,0.149715,0.257156,0.346689,0.332061,0.154856,0.263522,0,0,0,0,0,0,0,1,0,0,0,0,0
1112,'2020/03/23 13:24:32:895',2,0.538759,-0.394974,0.071664,0.010808,0.428311,0.240478,0.161694,0.103682,0.183635,0.249969,0.258274,0.135881,0.270767,0,0,0,0,0,0,0,1,0,0,0,0,0
