@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
53,'2020/03/24 18:45:39:566',1,0.594118,-0.376138,0.172201,0.021884,0.474977,0.325198,0.236196,0.148877,0.235301,0.330092,0.328234,0.201625,0.346593,1,0,0,0,0,0
54,'2020/03/24 18:45:39:576',1,0.616804,-0.390554,0.104035,-0.004148,0.438583,0.297757,0.238542,0.18303,0.272004,0.316112,0.316296,0.161355,0.287201,1,0,0,0,0,0
55,'2020/03/24 18:45:39:588',1,0.582503,-0.389261,0.124122,0.023015,0.433342,0.256691,0.190074,0.150147,0.27275,0.347757,0.325714,0.166877,0.271388,1,0,0,0,0,0
56,'2020/03/24 18:45:39:599',1,0.577749,-0.372689,0.181072,0.019159,0.479268,0.31827,0.222582,0.189586,0.271289,0.331729,0.314688,0.214978,0.321754,1,0,0,0,0,0
57,'2020/03/24 18:45:39:611',1,0.538362,-0.407617,0.149977,0.006001,0.483413,0.322565,0.223548,0.152947,0.26288,0.353336,0.338658,0.161437,0.268619,1,0,0,0,0,0
58,'2020/03/24 18:45:39:625',1,0.535062,-0.397774,0.074693,0.012603,0.435798,0.242866,0.160941,0.102682,0.18236,0.250553,0.258059,0.130784,0.266824,1,0,0,0,0,0
59,'2020/03/24 18:45:39:625',1,0.535062,-0.397774,0.074693,0.012603,0.435798,0.242866,0.160941,0.102682,0.18236,0.250553,0.258059,0.130784,0.266824,1,0,0,0,0,0
60,'2020/03/24 18:45:39:634',1,0.561405,-0.394914,0.127808,-0.009342,0.449198,0.285647,0.206132,0.149175,0.206313,0.269402,0.26378,0.140082,0.273372,1,0,0,0,0,0
61,'2020/03/24 18:45:39:646',1,0.546359,-0.412138,0.132857,-0.012033,0.453341,0.259693,0.207872,0.124299,0.1998,0.290661,0.312934,0.169612,0.31918,1,0,0,0,0,0
62,'2020/03/24 18:45:39:658',1,0.529551,-0.386995,0.176968,0.040352,0.437068,0.253386,0.227492,0.160395,0.2065,0.307314,0.291562,0.136672,0.288262,1,0,0,0,0,0
63,'2020/03/24 18:45:39:669',1,0.554462,-0.388505,0.166339,0.045116,0.486103,0.302963,0.21243,0.147338,0.228442,0.337055,0.317309,0.186472,0.357868,1,0,0,0,0,0
64,'2020/03/24 18:45:39:681',1,0.61033,-0.382562,0.132684,-0.000932,0.449896,0.313883,0.273898,0.184969,0.25336,0.298194,0.318732,0.166843,0.287167,1,0,0,0,0,0
65,'2020/03/24 18:45:39:693',1,0.620375,-0.370816,0.115115,0.014168,0.432025,0.270681,0.181618,0.158746,0.276891,0.350788,0.333327,0.165278,0.288739,1,0,0,0,0,0
66,'2020/03/24 18:45:39:704',1,0.575324,-0.390667,0.161288,0.029002,0.47737,0.302491,0.224765,0.173617,0.258382,0.327469,0.301477,0.206578,0.303136,1,0,0,0,0,0
67,'2020/03/24 18:45:39:705',1,0.575324,-0.390667,0.161288,0.029002,0.47737,0.302491,0.224765,0.173617,0.258382,0.327469,0.301477,0.206578,0.303136,1,0,0,0,0,0
68,'2020/03/24 18:45:39:716',1,0.574036,-0.371927,0.179158,-0.002513,0.460622,0.329662,0.233471,0.170053,0.276504,0.356681,0.34255,0.176631,0.282906,1,0,0,0,0,0
69,'2020/03/24 18:45:39:727',1,0.52193,-0.410507,0.100348,0.022847,0.473863,0.267226,0.16886,0.1044,0.191049,0.268189,0.272543,0.123014,0.255275,1,0,0,0,0,0
70,'2020/03/24 18:45:39:739',1,0.604913,-0.360918,0.125506,-0.002378,0.43287,0.279382,0.180333,0.132714,0.172702,0.238134,0.250906,0.143467,0.252863,1,0,0,0,0,0
71,'2020/03/24 18:45:39:751',1,0.566465,-0.392525,0.142518,-0.004888,0.45664,0.268602,0.214197,0.140252,0.207168,0.290671,0.296425,0.163995,0.318701,1,0,0,0,0,0
72,'2020/03/24 18:45:39:762',1,0.547152,-0.404018,0.160815,0.028435,0.44362,0.255762,0.209929,0.126451,0.195417,0.291103,0.296022,0.13721,0.265353,1,0,0,0,0,0
73,'2020/03/24 18:45:39:774',1,0.522149,-0.378668,0.173739,0.057431,0.483155,0.278393,0.2169,0.168929,0.232572,0.333444,0.294188,0.148763,0.337717,1,0,0,0,0,0
74,'2020/03/24 18:45:39:774',1,0.522149,-0.378668,0.173739,0.057431,0.483155,0.278393,0.2169,0.168929,0.232572,0.333444,0.294188,0.148763,0.337717,1,0,0,0,0,0
75,'2020/03/24 18:45:39:785',1,0.597361,-0.373536,0.163966,0.003246,0.460637,0.333558,0.282882,0.179415,0.245442,0.308649,0.330544,0.194327,0.319169,1,0,0,0,0,0
76,'2020/03/24 18:45:39:797',1,0.631237,-0.373811,0.101894,0.000979,0.4361,0.289482,0.197975,0.173761,0.282468,0.34061,0.325718,0.168605,0.306158,1,0,0,0,0,0
77,'2020/03/24 18:45:39:808',1,0.571315,-0.402889,0.136379,0.028549,0.453649,0.271641,0.213326,0.154124,0.255229,0.326349,0.300713,0.182006,0.277304,1,0,0,0,0,0
78,'2020/03/24 18:45:39:820',1,0.591443,-0.356213,0.193856,0.004919,0.457569,0.326605,0.23005,0.192367,0.281139,0.343095,0.331657,0.194029,0.303939,1,0,0,0,0,0
79,'2020/03/24 18:45:39:832',1,0.529403,-0.4112,0.131596,0.027803,0.500991,0.304947,0.199222,0.127137,0.22346,0.305575,0.298105,0.130447,0.249297,1,0,0,0,0,0
80,'2020/03/24 18:45:39:845',1,0.572867,-0.367693,0.083573,0.004732,0.405227,0.243085,0.168407,0.107426,0.184914,0.249168,0.260398,0.154717,0.273983,1,0,0,0,0,0
81,'2020/03/24 18:45:39:846',1,0.572867,-0.367693,0.083573,0.004732,0.405227,0.243085,0.168407,0.107426,0.184914,0.249168,0.260398,0.154717,0.273983,1,0,0,0,0,0
82,'2020/03/24 18:45:39:855',1,0.564042,-0.396594,0.135847,-0.003644,0.45353,0.277464,0.217707,0.154756,0.22057,0.299115,0.291187,0.161597,0.309145,1,0,0,0,0,0
83,'2020/03/24 18:45:39:867',1,0.550792,-0.41096,0.150773,0.015325,0.459087,0.263118,0.206173,0.112461,0.187631,0.284911,0.310782,0.151014,0.277433,1,0,0,0,0,0
84,'2020/03/24 18:45:39:879',1,0.513519,-0.37402,0.181345,0.053065,0.458863,0.259089,0.22919,0.178629,0.219945,0.32119,0.288081,0.134727,0.316672,1,0,0,0,0,0
85,'2020/03/24 18:45:39:890',1,0.597295,-0.3735,0.172952,0.018189,0.472709,0.327653,0.242189,0.151657,0.236999,0.327765,0.3288,0.20207,0.343826,1,0,0,0,0,0
86,'2020/03/24 18:45:39:901',1,0.619249,-0.388777,0.102424,-0.003804,0.438232,0.296989,0.232878,0.182614,0.275414,0.32109,0.317832,0.16303,0.290579,1,0,0,0,0,0
87,'2020/03/24 18:45:39:913',1,0.577075,-0.393371,0.124993,0.023891,0.434444,0.256093,0.192748,0.149362,0.270658,0.344948,0.322591,0.168141,0.270585,1,0,0,0,0,0
88,'2020/03/24 18:45:39:925',1,0.57991,-0.36961,0.183498,0.016605,0.4766,0.319376,0.22232,0.1916,0.273439,0.332856,0.317317,0.213608,0.321545,1,0,0,0,0,0
89,'2020/03/24 18:45:39:925',1,0.57991,-0.36961,0.183498,0.016605,0.4766,0.319376,0.22232,0.1916,0.273439,0.332856,0.317317,0.213608,0.321545,1,0,0,0,0,0
