@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
74,'2020/03/23 13:16:08:232',1,0.535635,-0.386062,0.167905,0.0528,0.488394,0.292859,0.213209,0.157206,0.23068,0.335598,0.304858,0.167955,0.350672,1,0,0,0,0,0
75,'2020/03/23 13:16:08:246',1,0.604713,-0.37558,0.15041,-0.00039,0.453769,0.323554,0.282887,0.18252,0.245563,0.298548,0.324571,0.179927,0.300678,1,0,0,0,0,0
76,'2020/03/23 13:16:08:255',1,0.630167,-0.370277,0.107843,0.007601,0.433436,0.280774,0.186782,0.166397,0.279006,0.346481,0.330996,0.167123,0.300937,1,0,0,0,0,0
77,'2020/03/23 13:16:08:266',1,0.575553,-0.397898,0.148932,0.029452,0.467134,0.287864,0.221876,0.164935,0.256214,0.326715,0.298938,0.195107,0.28954,1,0,0,0,0,0
78,'2020/03/23 13:16:08:278',1,0.588194,-0.357904,0.191092,0.001098,0.456853,0.330571,0.235537,0.182832,0.280703,0.35071,0.337083,0.182785,0.290657,1,0,0,0,0,0
79,'2020/03/23 13:16:08:290',1,0.520242,-0.414751,0.113703,0.024703,0.487967,0.283577,0.179077,0.110501,0.201987,0.281692,0.281715,0.123207,0.249319,1,0,0,0,0,0
80,'2020/03/23 13:16:08:290',1,0.520242,-0.414751,0.113703,0.024703,0.487967,0.283577,0.179077,0.110501,0.201987,0.281692,0.281715,0.123207,0.249319,1,0,0,0,0,0
81,'2020/03/23 13:16:08:302',1,0.600533,-0.349404,0.111684,0.003052,0.415066,0.257283,0.169112,0.115703,0.172928,0.24117,0.252917,0.146591,0.254782,1,0,0,0,0,0
82,'2020/03/23 13:16:08:313',1,0.567578,-0.392961,0.140658,-0.00288,0.455205,0.272108,0.215259,0.146458,0.211786,0.294104,0.292945,0.162458,0.31513,1,0,0,0,0,0
83,'2020/03/23 13:16:08:324',1,0.552781,-0.407606,0.15748,0.024513,0.453535,0.261084,0.207453,0.11729,0.19091,0.287091,0.303724,0.143626,0.267276,1,0,0,0,0,0
84,'2020/03/23 13:16:08:337',1,0.514537,-0.375415,0.177325,0.056023,0.471795,0.266314,0.222644,0.17602,0.227551,0.327463,0.288393,0.137466,0.326663,1,0,0,0,0,0
85,'2020/03/23 13:16:08:348',1,0.600462,-0.370381,0.170778,0.008074,0.464782,0.332602,0.265513,0.166986,0.242586,0.317594,0.329704,0.200531,0.332879,1,0,0,0,0,0
86,'2020/03/23 13:16:08:360',1,0.626868,-0.380068,0.100712,-0.00182,0.438414,0.29511,0.214443,0.180102,0.283455,0.33455,0.322493,0.168204,0.301967,1,0,0,0,0,0
87,'2020/03/23 13:16:08:361',1,0.626868,-0.380068,0.100712,-0.00182,0.438414,0.29511,0.214443,0.180102,0.283455,0.33455,0.322493,0.168204,0.301967,1,0,0,0,0,0
88,'2020/03/23 13:16:08:371',1,0.566971,-0.403646,0.127438,0.024979,0.441263,0.260086,0.203238,0.14931,0.261795,0.333931,0.310842,0.174427,0.272565,1,0,0,0,0,0
89,'2020/03/23 13:16:08:383',1,0.587367,-0.361381,0.190356,0.009504,0.465142,0.321918,0.223721,0.194766,0.278332,0.336835,0.325267,0.204843,0.315821,1,0,0,0,0,0
90,'2020/03/23 13:16:08:394',1,0.535236,-0.409257,0.142986,0.024154,0.502152,0.318062,0.214035,0.139997,0.240811,0.326072,0.312884,0.138829,0.25209,1,0,0,0,0,0
91,'2020/03/23 13:16:08:406',1,0.54503,-0.391473,0.064003,0.000799,0.406699,0.234335,0.162756,0.104991,0.18837,0.253317,0.265079,0.155194,0.284424,1,0,0,0,0,0
92,'2020/03/23 13:16:08:418',1,0.563301,-0.395858,0.134241,-0.004523,0.453095,0.283524,0.218162,0.159225,0.224752,0.297274,0.286475,0.157835,0.299508,1,0,0,0,0,0
93,'2020/03/23 13:16:08:429',1,0.547088,-0.413145,0.142635,0.003616,0.459978,0.263683,0.207784,0.115899,0.191882,0.287653,0.315156,0.159813,0.295623,1,0,0,0,0,0
94,'2020/03/23 13:16:08:430',1,0.547088,-0.413145,0.142635,0.003616,0.459978,0.263683,0.207784,0.115899,0.191882,0.287653,0.315156,0.159813,0.295623,1,0,0,0,0,0
95,'2020/03/23 13:16:08:444',1,0.517626,-0.376658,0.182581,0.048721,0.447233,0.254914,0.231773,0.174613,0.212672,0.315067,0.288833,0.135272,0.305951,1,0,0,0,0,0
96,'2020/03/23 13:16:08:453',1,0.584506,-0.381329,0.170606,0.030538,0.479082,0.31813,0.224836,0.145028,0.231724,0.333468,0.326504,0.199922,0.352211,1,0,0,0,0,0
