@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
6232,'2020/03/23 13:42:20:109',6,0.553283,-0.408643,0.155497,0.021657,0.455309,0.261886,0.207056,0.115444,0.189708,0.286124,0.306011,0.145496,0.26911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6233,'2020/03/23 13:42:20:120',6,0.51347,-0.374707,0.178611,0.055162,0.467718,0.263517,0.224805,0.177533,0.225516,0.325865,0.288305,0.136173,0.323576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6234,'2020/03/23 13:42:20:132',6,0.600612,-0.370647,0.171855,0.01059,0.466982,0.331473,0.258334,0.162322,0.241615,0.321229,0.329507,0.2016,0.336771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6235,'2020/03/23 13:42:20:143',6,0.624671,-0.382821,0.101029,-0.002372,0.438367,0.295736,0.219933,0.180957,0.281446,0.330878,0.321209,0.167095,0.299129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6236,'2020/03/23 13:42:20:155',6,0.567875,-0.402031,0.125741,0.02406,0.438069,0.257683,0.199982,0.149205,0.265052,0.337763,0.315027,0.172844,0.272387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6237,'2020/03/23 13:42:20:200',6,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6238,'2020/03/23 13:42:20:200',6,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6239,'2020/03/23 13:42:20:201',6,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6240,'2020/03/23 13:42:20:202',6,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6241,'2020/03/23 13:42:20:202',6,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6242,'2020/03/23 13:42:20:216',6,0.545528,-0.414417,0.138701,-0.001846,0.457845,0.262225,0.207625,0.117731,0.194289,0.289229,0.316324,0.163539,0.303133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6243,'2020/03/23 13:42:20:226',6,0.519734,-0.378735,0.181976,0.04678,0.443873,0.254169,0.231564,0.172106,0.210883,0.313398,0.289554,0.135734,0.301891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6244,'2020/03/23 13:42:20:236',6,0.577914,-0.384001,0.16923,0.034334,0.480745,0.314286,0.220413,0.144416,0.230355,0.334786,0.325041,0.197979,0.354604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6245,'2020/03/23 13:42:20:237',6,0.577914,-0.384001,0.16923,0.034334,0.480745,0.314286,0.220413,0.144416,0.230355,0.334786,0.325041,0.197979,0.354604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6246,'2020/03/23 13:42:20:248',6,0.611815,-0.390642,0.114185,-0.002403,0.443968,0.304717,0.257525,0.185559,0.263417,0.304926,0.315329,0.159778,0.281222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6247,'2020/03/23 13:42:20:260',6,0.604333,-0.375672,0.122679,0.021232,0.432679,0.261345,0.182811,0.152128,0.274956,0.351477,0.331233,0.164366,0.276318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6248,'2020/03/23 13:42:20:271',6,0.573693,-0.382248,0.172646,0.025904,0.482765,0.313117,0.223357,0.180877,0.262909,0.328836,0.308247,0.21539,0.317338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6249,'2020/03/23 13:42:20:283',6,0.551494,-0.393829,0.162305,-0.001626,0.469956,0.325665,0.228373,0.160193,0.272485,0.361473,0.346817,0.171896,0.276823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6250,'2020/03/23 13:42:20:295',6,0.526127,-0.406038,0.083694,0.015743,0.452587,0.250391,0.161262,0.100966,0.182804,0.255461,0.261214,0.122756,0.258977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6251,'2020/03/23 13:42:20:306',6,0.583503,-0.377651,0.132425,-0.003693,0.449266,0.293236,0.201478,0.149716,0.195926,0.255998,0.260492,0.14336,0.264575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6252,'2020/03/23 13:42:20:317',6,0.559367,-0.398672,0.139662,-0.008413,0.456329,0.264096,0.211228,0.13218,0.203535,0.289375,0.303105,0.166351,0.320267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6253,'2020/03/23 13:42:20:317',6,0.559367,-0.398672,0.139662,-0.008413,0.456329,0.264096,0.211228,0.13218,0.203535,0.289375,0.303105,0.166351,0.320267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6254,'2020/03/23 13:42:20:329',6,0.539155,-0.395532,0.169635,0.03548,0.438346,0.254326,0.219312,0.144457,0.202436,0.30011,0.292493,0.135297,0.274696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6255,'2020/03/23 13:42:20:341',6,0.535635,-0.386062,0.167905,0.0528,0.488394,0.292859,0.213209,0.157206,0.23068,0.335598,0.304858,0.167955,0.350672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6256,'2020/03/23 13:42:20:352',6,0.604713,-0.37558,0.15041,-0.00039,0.453769,0.323554,0.282887,0.18252,0.245563,0.298548,0.324571,0.179927,0.300678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6257,'2020/03/23 13:42:20:364',6,0.630167,-0.370277,0.107843,0.007601,0.433436,0.280774,0.186782,0.166397,0.279006,0.346481,0.330996,0.167123,0.300937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6258,'2020/03/23 13:42:20:375',6,0.575553,-0.397898,0.148932,0.029452,0.467134,0.287864,0.221876,0.164935,0.256214,0.326715,0.298938,0.195107,0.28954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6259,'2020/03/23 13:42:20:388',6,0.588194,-0.357904,0.191092,0.001098,0.456853,0.330571,0.235537,0.182832,0.280703,0.35071,0.337083,0.182785,0.290657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6260,'2020/03/23 13:42:20:388',6,0.588194,-0.357904,0.191092,0.001098,0.456853,0.330571,0.235537,0.182832,0.280703,0.35071,0.337083,0.182785,0.290657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6261,'2020/03/23 13:42:20:399',6,0.520242,-0.414751,0.113703,0.024703,0.487967,0.283577,0.179077,0.110501,0.201987,0.281692,0.281715,0.123207,0.249319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
